shelf,SimilarTo,ledge,1.0
box,SimilarTo,corner,1.0
van,SimilarTo,vanguard,1.0
hand,SimilarTo,hired_hand,0.5384615384615384
hand,SimilarTo,handwriting,0.46153846153846156
shorts,SimilarTo,short,1.0
post,SimilarTo,military_post,0.1111111111111111
post,SimilarTo,position,0.8148148148148148
post,SimilarTo,mail,0.07407407407407407
cat,SimilarTo,guy,1.0
bowl,SimilarTo,stadium,1.0
sand,SimilarTo,backbone,1.0
can,SimilarTo,buttocks,0.4642857142857143
can,SimilarTo,toilet,0.5357142857142857
cart,SimilarTo,handcart,1.0
pot,SimilarTo,toilet,0.10294117647058823
pot,SimilarTo,batch,0.8970588235294118
paper,SimilarTo,composition,0.25925925925925924
paper,SimilarTo,newspaper,0.7407407407407407
mouse,SimilarTo,shiner,1.0
camera,SimilarTo,television_camera,1.0
ball,SimilarTo,musket_ball,0.7
ball,SimilarTo,testis,0.3
tie,SimilarTo,necktie,0.3333333333333333
tie,SimilarTo,affiliation,0.3333333333333333
tie,SimilarTo,link,0.3333333333333333
luggage,SimilarTo,baggage,1.0
engine,SimilarTo,locomotive,1.0
Watch,SimilarTo,watch,0.7727272727272727
Watch,SimilarTo,lookout,0.22727272727272727
Face,SimilarTo,face,0.7263843648208469
Face,SimilarTo,expression,0.2280130293159609
Face,SimilarTo,side,0.04234527687296417
Face,SimilarTo,boldness,0.003257328990228013
suitcase,SimilarTo,bag,1.0
